        Date        , GPU Clock [MHz] , Memory Clock [MHz] , UVD Clock [MHz] , UVD Clock [MHz] , GPU Temperature [°C] , GPU Temperature (Hot Spot) [°C] , Memory Temperature [°C] , GPU VRM Temperature [°C] , Mem1 VRM Temperature [°C] , Mem2 VRM Temperature [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , GPU Load [%] , Memory Controller Load [%] , Memory Used (Dedicated) [MB] , Memory Used (Dynamic) [MB] , GPU Chip Power Draw [W] , GPU Voltage [V] , Memory Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2020-03-16 17:14:06 ,         915.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          4   ,                        1   ,                        924   ,                      108   ,                  11.0   ,         0.725   ,            0.675   ,               36.3   ,                  6868   ,
2020-03-16 17:14:07 ,         909.0   ,            200.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        1   ,                        924   ,                      108   ,                  10.0   ,         0.725   ,            0.675   ,               36.0   ,                  6861   ,
2020-03-16 17:14:08 ,         988.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          6   ,                        2   ,                        924   ,                      108   ,                  14.0   ,         0.725   ,            0.675   ,               35.9   ,                  6858   ,
2020-03-16 17:14:09 ,         946.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          4   ,                        2   ,                        924   ,                      108   ,                   8.0   ,         0.725   ,            0.675   ,               35.8   ,                  6852   ,
2020-03-16 17:14:10 ,         840.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        1   ,                        924   ,                      108   ,                   9.0   ,         1.200   ,            0.675   ,               35.4   ,                  6862   ,
2020-03-16 17:14:11 ,         857.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        1   ,                        924   ,                      109   ,                   9.0   ,         0.725   ,            0.675   ,               36.0   ,                  6873   ,
2020-03-16 17:14:12 ,         935.0   ,            986.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  52.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        0   ,                        925   ,                      109   ,                  23.0   ,         0.725   ,            0.850   ,               37.0   ,                  6884   ,
2020-03-16 17:14:13 ,        1040.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          6   ,                        0   ,                        925   ,                      109   ,                  13.0   ,         0.725   ,            0.675   ,               37.0   ,                  6888   ,
2020-03-16 17:14:14 ,         933.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          4   ,                        0   ,                        925   ,                      109   ,                  11.0   ,         0.725   ,            0.675   ,               37.0   ,                  6895   ,
2020-03-16 17:14:15 ,         970.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        0   ,                        925   ,                      109   ,                  10.0   ,         0.725   ,            0.675   ,               37.0   ,                  6893   ,
2020-03-16 17:14:16 ,         842.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          0   ,                        0   ,                        925   ,                      109   ,                   9.0   ,         0.725   ,            0.675   ,               37.0   ,                  6886   ,
2020-03-16 17:14:17 ,        1013.0   ,            836.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        0   ,                        925   ,                      107   ,                  20.0   ,         0.725   ,            0.850   ,               37.0   ,                  6887   ,
2020-03-16 17:14:18 ,         884.0   ,            306.0   ,         105.0   ,         102.0   ,               50.0   ,                          50.0   ,                  52.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          1   ,                        0   ,                        925   ,                      107   ,                  13.0   ,         0.725   ,            0.675   ,               37.1   ,                  6888   ,
2020-03-16 17:14:19 ,         938.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          2   ,                        0   ,                        925   ,                      107   ,                  10.0   ,         0.725   ,            0.675   ,               37.3   ,                  6884   ,
2020-03-16 17:14:20 ,        1023.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        0   ,                        925   ,                      107   ,                  12.0   ,         0.725   ,            0.675   ,               37.3   ,                  6882   ,
2020-03-16 17:14:21 ,        1030.0   ,            200.0   ,         105.0   ,         102.0   ,               49.0   ,                          49.0   ,                  50.0   ,                   46.0   ,                     0.0   ,                     0.0   ,               0   ,                   0   ,          5   ,                        0   ,                        925   ,                      107   ,                  10.0   ,         0.725   ,            0.675   ,               37.3   ,                  6891   ,
